category,price,color,brand,brand_group,base_color,has_out_of_stock,nb_sizes_total,nb_sizes_available,nb_sizes_out_of_stock,fully_out_of_stock,price_segment
outerwear,25.0,black,ASOS DESIGN,ASOS DESIGN,black,False,8,8,0,False,£20-50
outerwear,25.0,black,ASOS DESIGN,ASOS DESIGN,black,False,8,8,0,False,£20-50
outerwear,32.0,dark teal,ASOS 4505,ASOS 4505,blue,True,8,7,1,False,£20-50
outerwear,32.0,dark teal,ASOS 4505,ASOS 4505,blue,True,8,7,1,False,£20-50
outerwear,32.0,dark teal,ASOS 4505,ASOS 4505,blue,True,8,7,1,False,£20-50
outerwear,32.0,dark teal,ASOS 4505,ASOS 4505,blue,True,8,7,1,False,£20-50
outerwear,,navy,Barbour,Barbour,blue,True,9,7,2,False,>£100
outerwear,,navy,Barbour,Barbour,blue,True,9,7,2,False,>£100
outerwear,,navy,Barbour,Barbour,blue,True,9,7,2,False,>£100
outerwear,,navy,Barbour,Barbour,blue,True,9,7,2,False,>£100
outerwear,,bright green,Cotton,Cotton,green,True,5,4,1,False,>£100
outerwear,,bright green,Cotton,Cotton,green,True,5,4,1,False,>£100
outerwear,,bright green,Cotton,Cotton,green,True,5,4,1,False,>£100
outerwear,,bright green,Cotton,Cotton,green,True,5,4,1,False,>£100
outerwear,,beige,River Island,River Island,beige,False,7,7,0,False,>£100
outerwear,,beige,River Island,River Island,beige,False,7,7,0,False,>£100
outerwear,,beige,River Island,River Island,beige,False,7,7,0,False,>£100
outerwear,,beige,River Island,River Island,beige,False,7,7,0,False,>£100
outerwear,65.0,green,Topshop,Topshop,green,True,8,3,5,False,£50-100
outerwear,65.0,green,Topshop,Topshop,green,True,8,3,5,False,£50-100
outerwear,65.0,green,Topshop,Topshop,green,True,8,3,5,False,£50-100
outerwear,65.0,green,Topshop,Topshop,green,True,8,3,5,False,£50-100
outerwear,54.0,green,Topshop Sno,Topshop,green,False,8,8,0,False,£50-100
outerwear,54.0,green,Topshop Sno,Topshop,green,False,8,8,0,False,£50-100
outerwear,54.0,green,Topshop Sno,Topshop,green,False,8,8,0,False,£50-100
outerwear,54.0,green,Topshop Sno,Topshop,green,False,8,8,0,False,£50-100
outerwear,39.99,light green,New Look,New Look,green,False,8,8,0,False,£20-50
outerwear,39.99,light green,New Look,New Look,green,False,8,8,0,False,£20-50
outerwear,39.99,light green,New Look,New Look,green,False,8,8,0,False,£20-50
outerwear,39.99,light green,New Look,New Look,green,False,8,8,0,False,£20-50
outerwear,,black,Miss Selfridge,Miss Selfridge,black,False,8,8,0,False,>£100
outerwear,,black,Miss Selfridge,Miss Selfridge,black,False,8,8,0,False,>£100
outerwear,,black,Miss Selfridge,Miss Selfridge,black,False,8,8,0,False,>£100
outerwear,,black,Miss Selfridge,Miss Selfridge,black,False,8,8,0,False,>£100
outerwear,,pink,ASOS DESIGN,ASOS DESIGN,pink,True,8,6,2,False,>£100
outerwear,,pink,ASOS DESIGN,ASOS DESIGN,pink,True,8,6,2,False,>£100
outerwear,,pink,ASOS DESIGN,ASOS DESIGN,pink,True,8,6,2,False,>£100
outerwear,,pink,ASOS DESIGN,ASOS DESIGN,pink,True,8,6,2,False,>£100
outerwear,36.99,khaki,New Look,New Look,green,False,6,6,0,False,£20-50
outerwear,36.99,khaki,New Look,New Look,green,False,6,6,0,False,£20-50
outerwear,36.99,khaki,New Look,New Look,green,False,6,6,0,False,£20-50
outerwear,46.0,off white,Topshop Tall,Topshop,white,True,8,6,2,False,£20-50
outerwear,46.0,off white,Topshop Tall,Topshop,white,True,8,6,2,False,£20-50
outerwear,46.0,off white,Topshop Tall,Topshop,white,True,8,6,2,False,£20-50
outerwear,46.0,off white,Topshop Tall,Topshop,white,True,8,6,2,False,£20-50
outerwear,,pink,Berghaus,Berghaus,pink,True,5,4,1,False,>£100
outerwear,,pink,Berghaus,Berghaus,pink,True,5,4,1,False,>£100
outerwear,,pink,Berghaus,Berghaus,pink,True,5,4,1,False,>£100
outerwear,,pink,Berghaus,Berghaus,pink,True,5,4,1,False,>£100
outerwear,115.0,camel,Forever New,Forever,other,True,6,5,1,False,>£100
outerwear,115.0,camel,Forever New,Forever,other,True,6,5,1,False,>£100
outerwear,115.0,camel,Forever New,Forever,other,True,6,5,1,False,>£100
outerwear,115.0,camel,Forever New,Forever,other,True,6,5,1,False,>£100
outerwear,65.0,beige,Topshop,Topshop,beige,False,4,4,0,False,£50-100
outerwear,65.0,beige,Topshop,Topshop,beige,False,4,4,0,False,£50-100
outerwear,65.0,beige,Topshop,Topshop,beige,False,4,4,0,False,£50-100
outerwear,30.0,black,ASOS DESIGN,ASOS DESIGN,black,False,9,9,0,False,£20-50
outerwear,30.0,black,ASOS DESIGN,ASOS DESIGN,black,False,9,9,0,False,£20-50
outerwear,30.0,black,ASOS DESIGN,ASOS DESIGN,black,False,9,9,0,False,£20-50
outerwear,30.0,black,ASOS DESIGN,ASOS DESIGN,black,False,9,9,0,False,£20-50
outerwear,,black,ASOS Weekend Collective,ASOS Weekend Collective,black,True,8,6,2,False,>£100
outerwear,,black,ASOS Weekend Collective,ASOS Weekend Collective,black,True,8,6,2,False,>£100
outerwear,,black,ASOS Weekend Collective,ASOS Weekend Collective,black,True,8,6,2,False,>£100
outerwear,,black,ASOS Weekend Collective,ASOS Weekend Collective,black,True,8,6,2,False,>£100
